original;novo
Peso;peso
Soma Peso;soma.peso
80#;maior.80.mesh
<80#;menor.80.mesh
Ag;Ag
Al;Al
As;As
Au;Au
B;B
Ba;Ba
Be;Be
Bi;Bi
Ca;Ca
Cd;Cd
Ce;Ce
Co;Co
Cr;Cr
Cs;Cs
Cu;Cu
Fe;Fe
Ga;Ga
Ge;Ge
Hf;Hf
Hg;Hg
In;In
K;K
La;La
Li;Li
Mg;Mg
Mn;Mn
Mo;Mo
Na;Na
Nb;Nb
Ni;Ni
P;P
Pb;Pb
Rb;Rb
Re;Re
S;S
Sb;Sb
Sc;Sc
Se;Se
Sn;Sn
Sr;Sr
Ta;Ta
Te;Te
Th;Th
Ti;Ti
U;U
V;V
W;W
Y;Y
Zn;Zn
Zr;Zr
Lu;Lu
Tb;Tb
Tl;Tl
Yb;Yb
W1_aas;peso.aas
230#;maior.230.mesh
<230#;menor.230.mesh
Umido;Umido
Seco;Seco
< 80#;menor.80.mesh
> 80#;maior.80.mesh
Entrada Pulv;entrada.pulv
Saida Pulv;saida.pulv
Massa Pulv;massa.pulv
Retido 150#;retido.150.mesh
Granul.150#;granul.150.mesh
Al2O3;Al2O3
CaO;CaO
Cr2O3;Cr2O3
Fe2O3;Fe2O3
K2O;K2O
MgO;MgO
MnO;MnO
Na2O;Na2O
P2O5;P2O5
SiO2;SiO2
TiO2;TiO2
LOI;LOI
Sum;Sum
Dy;Dy
Er;Er
Eu;Eu
Gd;Gd
Ho;Ho
Nd;Nd
Pr;Pr
Sm;Sm
Tm;Tm
FeO;FeO
Peso_bruto;Peso.bruto
Peso_inicial;Peso.inicial
Soma;Soma
+80#;maior.80.mesh
+80#_P;maior.80.mesh
-80#;menor.80.mesh
-80#_P;menor.80.mesh
Pd;Pd
Pt;Pt
Au1;Au1
Au2;Au2
BaO;BaO
SrO;SrO
NiO;NiO
C;C
F;F
CeO2;CeO2
La2O3;La2O3
Nb2O5;Nb2O5
Nd2O3;Nd2O3
PR6O11;PR6O11
V2O5;V2O5
ZrO2;ZrO2
SOMA;Soma
